"Timestamp","Spieler-ID","Alter","Geschlecht","Berufliche Tätigkeit bzw. Bereich der Ausbildung oder des Studiums","Wie oft spielst du Computerspiele?","Welche Art von Spiel spielst du für gewöhnlich?","Wie gut hat dir das Spiel insgesamt gefallen?","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich fühle mich kompetent in dem Spiel.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Wenn ich das Spiel spiele, fühle ich mich in eine andere Zeit und an einen anderen Ort versetzt.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich habe in dem Spiel interessante Optionen und Entscheidungsmöglichkeiten.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Die Spielwelt zu erkunden, fühlt sich an, als würde man einen realen Ausflug an einen neuen Ort machen.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich finde die Beziehungen, die ich in dem Spiel gründe, erfüllend.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Wenn ich mich durch die Spielwelt bewege, fühle ich mich, als wäre ich tatsächlich da.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Es war einfach, die Steuerung/Bedienung des Spiels zu lernen.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ereignisse im Spiel haben mich emotional nicht betroffen.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich fühle mich beim Spielen sehr fähig und erfolgreich.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Das Spiel ist emotional einnehmend.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Das Spiel lässt mich interessante Sache tun.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich erlebe Gefühle im Spiel geauso stark wie im realen Leben.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich finde die Beziehungen, die ich in diesem Spiel begründe, wichtig.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Wenn ich das Spiel spiele, fühle ich mich, als wäre ich Teil der Geschichte.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Die Spielsteuerung ist intuitiv.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Wenn ich im Spiel etwas erreicht habe, habe ich echten Stolz gefühlt.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Meine Spielfähigkeit passt gut zu den Herausforderungen des Spiels.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich hatte Reaktionen zu Ereignissen und Charakteren im Spiel, als wären sie real.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich habe im Spiel sehr viel Freiheit erlebt.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich fühle mich anderen Menschen nicht nahe.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Wenn ich im Spiel etwas machen wollte, war es einfach, sich an die entsprechende Steuerung zu erinnern.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Es fiel mir schwer, die Abstände zwischen Wörtern für die richtigen Plätze in der Brücke abzuschätzen.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich hatte Schwierigkeiten, passende Wörter bei der Auswahl vor dem Einbauen in die Brücke zu finden.]","Was hat dir besonders gut gefallen?","Was hat dir nicht so gut gefallen?","Weitere Anmerkungen"
"2021/01/15 5:38:16 PM GMT+1","147","20 - 29","Weiblich","IT, Computer","1 - 3 Stunden pro Tag","Adventure;Casual;Logic;Role Playing Games;Simulation","1","1","1","2","2","1","1","2","4","2","1","2","2","1","1","3","3","2","2","1","4","4","7","7","","Es ist unglaublich schwierig zu wissen welche Wörter welche Abstände zu einander haben. Das Level kann man sich für maximal 5 Sekunden angucken, was viel zu kurz ist um sich danach auszudenken welche Wörter man eventuell braucht, da man diese auch im Nachhinein nicht noch austauschen kann. Es war sehr unintuitiv was die ""Distanz"" zwischen zwei Wörtern bedeutet, bzw. leicht zu vergessen, sodass man überhaupt nicht versteht, welche Wörter welche Abstände haben würden. Selbst dann kann man es nicht genau wissen, sondern muss schätzen um das Level zu schaffen, sonst hat man automatisch verloren.",""
"2021/01/15 6:01:50 PM GMT+1","202","20 - 29","Männlich","Andere","1 - 5 Stunden im Monat","Action;Strategy","2","2","2","3","2","1","1","6","1","2","2","2","1","1","2","6","4","2","1","2","5","6","5","6","","",""
"2021/01/15 6:04:10 PM GMT+1","607","20 - 29","Männlich","IT, Computer","1 - 3 Stunden pro Tag","Andere","2","2","1","3","1","1","1","6","7","1","1","2","1","1","1","6","7","4","1","6","7","6","5","7","Lemminge haben einen Rettungsreifen und können nicht ertrinken!","Man muss sehr viel probieren, da sich die Logik hinter der Spiel nicht erschließt",""
"2021/01/15 6:12:46 PM GMT+1","242","16 - 19","Männlich","Andere","Mindestens 4 Stunden pro Tag","Andere","3","2","1","3","1","1","1","7","7","2","1","4","1","1","1","6","6","4","1","5","1","7","6","4","Mir gefiel das Design der Spielfläche gut, auch kleinere Spielereien, wie zum Beispiel die Schwimmringe der Lemminge passen sehr gut. Auch die Grundidee des Spiels gefällt mir gut. Die Level, bei denen die Wörter schon vorgegeben waren, bieten gute Abwechslung und geben auch schwächeren Spielern ein Erfolgserlebnis.","Am Anfang hat man zwar eine Erklärung bekommen, wie man das Spiel zu steuern hat, jedoch nicht, wie die Abstände der Wörter abzuschätzen waren, weshalb es schwierig war überhaupt Level abzuschließen. Man sollte also am Anfang kurze Beispiele nennen, warum bestimmte Wörter zusammenpassen, damit solche Probleme eher selten auftreten. Ich finde es auch nicht unbedingt glücklich, dass man zwar die Wörter wieder von den Pfählen nehmen kann, aber ausgewählte Wörter nicht mehr austauschen kann und man dann ein ganz anderes Level mit ganz neuen Wörtern bekommt, falls man es zurücksetzt.","Mit der kurzen Zeit am Anfang kann es zu Problemen kommen, wenn man die Abstände nicht sofort erkennt, da man sonst raten muss, was das Spiel unmöglich macht."
"2021/01/15 6:46:07 PM GMT+1","151","20 - 29","Männlich","IT, Computer","1 - 5 Stunden die Woche","Sports","2","2","2","3","1","2","2","6","6","2","2","2","1","1","1","6","4","2","1","3","2","7","7","7","","",""
"2021/01/15 7:01:35 PM GMT+1","153","20 - 29","Männlich","IT, Computer","Mindestens 4 Stunden pro Tag","Action;Adventure;Casual;Logic;Role Playing Games;Simulation;Strategy;Andere","2","1","2","3","4","2","2","2","2","1","5","2","3","2","4","7","6","1","1","2","1","6","7","7","Grafik & Animationen","Die Abstände fühlten sich teilweise sehr unlogisch an- so hatten zum Beispiel Papier & Tisch einen relativ großen Abstand",""
"2021/01/15 7:36:10 PM GMT+1","938","20 - 29","Männlich","IT, Computer","1 - 5 Stunden im Monat","Role Playing Games","1","7","1","1","1","1","1","3","7","7","1","1","1","1","1","3","2","1","1","1","7","7","7","5","Die Lemminge, wenn Sie ins Wasser fielen","Es war schade, dass die Lemminge schwimmen konnten. Außerdem hasse Ich psychologische Spielchen, da Psychologie eine Pseudowissenschaft ist und die Analysten eher selber einen an der Waffel haben. Eine Verwandte hat ihren Diplomabschluss in Psychologie gemacht und ist danach an Schizophrenie erkrankt. Auf welcher Welt macht das bitte Sinn? Menschliches Verhalten ist schlichtweg fast immer zu komplex, um es deuten zu können . Und dann noch aus der Mathematik das wunderschöne Instrument der Statistik für solche diabolischen Machenschaften zu missbrauchen. Nur weil die Normalverteilung auf einem Graphen schön aussieht heißt DAS NICHT DASS DIE ""SCHLUSSFOLGERUNG"" IRGENDWELCHE WISSENSCHAFTLICHE ERKENNTNISSE LIEFERT. Lesen: Nassim Taleb, sein Twitteraccount besteht aus mehr Wissenschaft als dieser Humbug hier","Assoziiere jetzt die Wörter ""Bachelorarbeit"" und ""verschwendete"" und ""Lebenszeit"""
"2021/01/15 8:10:29 PM GMT+1","728","16 - 19","Weiblich","Wirtschaft, Verwaltung","1 - 5 Stunden im Monat","Adventure;Sports","2","2","5","3","2","1","1","5","5","2","2","4","3","1","2","4","5","2","3","2","3","5","7","7","","",""
"2021/01/15 8:46:29 PM GMT+1","102","20 - 29","Weiblich","Landwirtschaft, Natur, Umwelt","Nie","Keine","3","1","2","3","4","3","4","6","4","2","4","4","1","1","2","7","2","1","2","4","1","7","7","7","Grafik","Es fehlt die Möglichkeit, während des Spiels nochmal die Spielregeln einzusehen.",""
"2021/01/15 9:55:10 PM GMT+1","726","20 - 29","Männlich","IT, Computer","1 - 5 Stunden die Woche","Action;Adventure;Casual;Logic;Role Playing Games;Racing;Strategy;Andere","1","1","1","3","1","1","1","1","3","1","5","2","3","1","1","2","2","1","1","1","7","4","7","7","Der Art-Style war ganz hübsch anzusehen.","Das Regelwerk war nicht verständlich. Die Distanz zwischen den Wörtern wirkte mehr zufällig als alles andere. Entsprechend waren auch nur die Level mit den vorgegeben Wörtern zu lösen und dann auch nur mit viel rumprobieren.","Selbst auf einem Full-HD Bildschirm passt die Seite nicht ins Browserfenster."
"2021/01/17 10:51:46 AM GMT+1","621","20 - 29","Weiblich","Landwirtschaft, Natur, Umwelt","1 - 5 Stunden die Woche","Adventure;Logic;Role Playing Games;Strategy","2","3","3","2","1","1","1","7","3","2","2","2","1","1","1","7","3","3","1","1","1","7","6","6","die Grafik (die hübschen Bilder), die niedlichen Lemminge, die einfache Spielbedienung","Dass die Distanz zwischen 2 Wörtern, die das Spiel als richtig erkannt hat, häufig nicht meinem Empfinden entsprach (z.B. habe ich die Distanz zwischen 2 Wörtern als deutlich kürzer eingeschätzt als das Spiel). Deshalb konnte ich mit meinen ausgewählten Wörtern häufig keine Brücke bauen, was frustrierend war.","Die Level mit den vorgegebenen Wörtern waren deutlich einfacher. Da entsprach die vom Spiel als richtig erkannte Distanz zwischen 2 Wörtern meiner Einschätzung."
"2021/01/17 2:05:37 PM GMT+1","643","30 - 39","Männlich","IT, Computer","1 - 5 Stunden im Monat","Keine","1","1","1","1","1","1","1","7","1","1","1","1","4","1","1","7","1","1","1","1","7","7","7","7","Die Grafik","Alles außer die Grafik","Die im Spiel gültigen Wortabstände sind für mich nicht vorhersehbar."
"2021/01/17 2:29:43 PM GMT+1","PM","16 - 19","Männlich","Wirtschaft, Verwaltung","1 - 3 Stunden pro Tag","Action;Adventure;Casual;Role Playing Games","5","2","2","5","2","2","2","3","7","3","2","5","2","1","2","6","2","2","2","3","3","7","4","5","","",""
"2021/01/20 11:55:29 AM GMT+1","652","20 - 29","Weiblich","Landwirtschaft, Natur, Umwelt","1 - 5 Stunden im Monat","Andere","4","3","5","5","6","4","5","2","3","3","5","6","4","4","5","5","7","3","6","5","3","6","7","7","Die Umgebung/Umwelt und Gestaltung des Spiels und auch die Idee, dass der Brückenbau die Lemminge retten kann","Es wäre schön gewesen nochmal zurück zu den Erklärungen gelangen zu können, um sich die Anleitung nochmal durchzulesen.",""
"2021/01/20 12:31:28 PM GMT+1","629","20 - 29","Männlich","Andere","1 - 3 Stunden pro Tag","Action;Logic;Strategy","2","3","1","1","1","1","1","1","7","1","1","1","1","1","1","1","1","1","1","1","1","3","4","4","schlichte und abstrahierte Graphikoberfläche","- Strategie wie das Spiel zu lösen, schwer zu verstehen ","- seltsamer Fragenkatalog"
"2021/01/20 1:10:56 PM GMT+1","663","20 - 29","Männlich","Landwirtschaft, Natur, Umwelt","Nie","Keine","3","3","2","5","2","2","2","4","3","2","2","3","1","1","2","5","5","4","1","3","1","6","7","7","","",""
"2021/01/20 3:14:26 PM GMT+1","710","20 - 29","Männlich","Andere","1 - 3 Stunden pro Tag","Role Playing Games;Simulation;Strategy;Andere","2","1","2","1","1","1","1","7","5","1","2","2","1","1","1","6","1","1","1","2","2","7","7","7","Der putzige Startbildschirm, sowie die evolutionär hochentwickelten ""Schwimmring-Lemminge"" waren Klasse (1A Design^^)","Das hoch- und runterscrollen im Browserfenster...","Ich hab mich ein wenig getrollt gefühlt. Woran das wohl liegt? Keine Ahnung... aber womöglich an der Unfähigkeit, die verschiedenen Abstufungen richtig einzuschätzen. Intuitiv lief bei mir jedenfalls wenig rund und auch nach (etwas) längerem Überlegen, war es eher Zufall und wildes rumgeklicke, welches Einen dann wohl oder übel in das nächste Level gebracht hat (Gott sei dank).
An sich eine wirklich interessante und coole Idee! Jedoch bleibt mir die intuitive Benutzung zwischen zwei Objekten und deren Abstufungen immer noch ein Rätsel. Vielleicht spiele ich nochmal ein paar Runden, um herauszufinden welche die 6 Abstufungen sein könnten.

Viel Erfolg bei der Abschlussarbeit!

Liebe Grüße 
ihr Jens Spahn"
"2021/01/20 4:39:02 PM GMT+1","261","20 - 29","Männlich","IT, Computer","1 - 3 Stunden pro Tag","Role Playing Games;Simulation;Strategy","3","1","1","3","1","3","1","7","2","2","2","1","1","1","1","7","2","2","1","5","3","7","7","7","Die Leminge waren sehr süß. Ich bin froh das sie überleben, auch wenn ich das Level nicht schaffe.
Außerdem waren die Level mit vorgegebenen Wörtern schön.","Ich würde gerne neue Wörter auswählen können im selben Level, wenn meine Entscheidung nicht geklappt hat.",""
"2021/01/20 4:57:38 PM GMT+1","367","20 - 29","Männlich","IT, Computer","Mindestens 4 Stunden pro Tag","Action;Adventure;Role Playing Games","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","6","1","1","4","1","6","7","7","Die Animation sahen toll aus","","Der Sinn des Spiels wurde mir nicht ersichtlich, ich hatte keine Ahnung was ich tun sollte."
"2021/01/20 8:12:45 PM GMT+1","738","20 - 29","Weiblich","IT, Computer","1 - 5 Stunden im Monat","Adventure","2","1","1","1","1","1","1","4","4","1","1","1","1","1","1","4","3","2","1","1","7","7","7","7","Die Grafik","Zusammehängende Wörter sind sehr subjektiv",""
"2021/01/21 1:27:07 PM GMT+1","801","16 - 19","Männlich","IT, Computer","1 - 3 Stunden pro Tag","Adventure;Role Playing Games;Simulation;Andere","2","2","1","2","1","1","1","6","7","1","1","2","1","1","1","5","3","4","1","1","7","6","7","7","","Die Distanz der Wörter war für mich wenig nachvollziehbar. Feuerzeug/Kochtopf war kürzer als Kochtop/Topfdeckel","Vielleicht habe ich die Anforderungen an ""Distanz"" nicht korrekt verstanden. Vielleicht wird auch genau das getestet ihr Schweine!
Jedenfalls wirkt für mich so eine ""subjektive"" Einordnung der Wörter nicht als passend, wenn die Länge der Brücken objektiv festgelegt ist. Dann endet es für mich an der Stelle, dass ich einfach nur austeste welche Wörter wie in Verbindung stehen. Und dann hat die Distanz nur noch ihren numerischen Wert(0,1,2,3,4,5 Steine im Wasser lang) und nicht mehr diesen ""semantischen""."
"2021/01/21 10:13:40 PM GMT+1","290","50 - 59","Männlich","IT, Computer","1 - 3 Stunden pro Tag","Casual;Logic;Strategy","2","3","2","3","2","2","2","6","5","3","2","3","2","1","2","6","5","3","2","2","1","7","6","5","Die ""runde"" Grafik und Spielführung. Es war immer deutlich/intuitiv, wo ich klicken konnte, damit etwas passiert.","Abstände der Worte teilweise nicht nachvollziehbar (z.B. hatten ""Kaffee"" und ""Kaffeemaschine"" einen Abstand von 4 oder 5 statt 1), deshalb war oft ""Level wiederholen"" nötig.","Teilweise hat das Auswählen der Worte recht lange gedauert, weil es so viele waren. Deswegen waren die Bonuslevel sehr angenehm :-)"
"2021/01/22 10:57:39 AM GMT+1","306","20 - 29","Männlich","IT, Computer","1 - 5 Stunden die Woche","Action","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","7","7","Die Idee des Spiels ist toll.","Ich verstehe nicht wie die Abstände zustande kommen, ich habe ja fast immer das Extra-Level gebraucht und nie hat sich für mich ein intuitiver Abstand ergeben. Kaffee ist eher mit Kabel verwand als mit Kaffeemaschine? Versteh ich einfach leider nicht. Ob jetzt Tee und Toilettenpapier oder Tee und Schwam weiter auseinander sind, keine Ahnung.

Auch habe ich beim Nachdenken über die Abstände der Wörter immer wieder vergessen, was für Abstände ich überbrücken muss. ",""
"2021/01/23 11:30:39 AM GMT+1","865","20 - 29","Weiblich","Produktion","1 - 5 Stunden im Monat","Simulation","2","1","1","1","1","1","1","6","5","1","5","1","1","1","1","5","1","1","1","4","4","5","7","7","Die Lemminge waren süß, die Grafik allgemein fand ich gut.","Ich habs nicht verstanden. DIe Größe des Spielfeldes passte nicht zu meinem Bildschirm. ","Es sollte während des Spiels ein Feld geben, wo man sich die Regeln nochmal anschauen kann. Tipps zum Erstellen von Fragebögen ( hatte ich im Studium ;)): keine Fragen mit ""nicht"" stellen, das verwirrt und führt ggf zu falschen Antworten, bei Multiple Choice immer auch die Antwortmöglichkeit ""nicht zutreffen/ weiß nicht"" o.ä. geben, nach möglichkeit eine Skala mit einer geraden Anzahl von Auswahlmöglichkeiten nehemn, so vermeidest du, dass jemand einfach immer die Mitte nimmt. War "" Ich fühle mich Menschen nah"" auf das Spiel bezogen oder allgemein? Das wurde aus der Frage nicht klar. "
