Wortpaar,zugeteilte Distanz,Distanz Klasse,Verglichen mit gegebener Distanz,Spieler ID,Art des Levels,Version der gegebenen Distanz,Anzahl Bewertungen
Tisch-Buegeleisen,2,1,gleich,938,standard,5,9
Tisch-Buegeleisen,2,1,gleich,191,bonus,4,9
Tisch-Buegeleisen,1,1,anders,1028,standard,3,9
Tisch-Buegeleisen,2,1,gleich,952,bonus,2,9
Tisch-Buegeleisen,1,1,anders,154,bonus,1,9
Buegeleisen-Toilettenpapier,4,2,anders,306,standard,4,5
Buegeleisen-Toilettenpapier,1,1,anders,404,bonus,3,5
Buegeleisen-Toilettenpapier,2,1,gleich,938,standard,2,5
Buegeleisen-Toilettenpapier,3,2,anders,151,standard,1,5
Buegeleisen-Toilettenpapier,2,1,initial,395,standard,0,5
Waescheklammer-Buegeleisen,4,2,anders,564,standard,9,10
Waescheklammer-Buegeleisen,2,1,gleich,845,standard,8,10
Waescheklammer-Buegeleisen,1,1,anders,801,standard,7,10
Waescheklammer-Buegeleisen,6,3,anders,820,standard,6,10
Waescheklammer-Buegeleisen,4,2,anders,629,bonus,5,10
Waescheklammer-Buegeleisen,3,2,anders,151,standard,4,10
Waescheklammer-Buegeleisen,2,1,gleich,147,standard,3,10
Waescheklammer-Buegeleisen,2,1,gleich,1028,standard,2,10
Waescheklammer-Buegeleisen,1,1,anders,825,standard,1,10
Waescheklammer-Buegeleisen,2,1,initial,154,standard,0,10
Faden-Buegeleisen,6,3,initial,290,standard,0,1
Glas-Faden,3,2,anders,801,standard,1,2
Glas-Faden,1,1,initial,738,standard,0,2
Faden-Holzbrett,2,1,gleich,820,bonus,1,2
Faden-Holzbrett,2,1,initial,352,standard,0,2
Faden-Kaffee,6,3,initial,164,bonus,0,1
Faden-Kaffeemaschine,2,1,gleich,600,standard,5,6
Faden-Kaffeemaschine,6,3,anders,261,standard,4,6
Faden-Kaffeemaschine,1,1,gleich,710,standard,3,6
Faden-Kaffeemaschine,3,2,anders,629,bonus,2,6
Faden-Kaffeemaschine,1,1,gleich,395,bonus,1,6
Faden-Kaffeemaschine,1,1,initial,712,standard,0,6
Kochloeffel-Faden,1,1,anders,663,standard,1,2
Kochloeffel-Faden,4,2,initial,629,bonus,0,2
Faden-Kochtopf,2,1,anders,672,standard,3,4
Faden-Kochtopf,3,2,gleich,738,standard,2,4
Faden-Kochtopf,3,2,gleich,652,bonus,1,4
Faden-Kochtopf,3,2,initial,543,standard,0,4
Faden-Kopfhoerer,1,1,anders,672,standard,1,2
Faden-Kopfhoerer,6,3,initial,290,standard,0,2
Kugelschreiber-Faden,4,2,anders,672,standard,2,3
Kugelschreiber-Faden,1,1,gleich,663,standard,1,3
Kugelschreiber-Faden,1,1,initial,391,standard,0,3
Faden-Papier,5,3,initial,663,standard,0,1
Papiertaschentuch-Faden,5,3,gleich,803,standard,2,3
Papiertaschentuch-Faden,6,3,anders,801,standard,1,3
Papiertaschentuch-Faden,4,2,initial,652,bonus,0,3
Seife-Faden,1,1,anders,672,standard,3,3
Seife-Faden,4,2,gleich,261,bonus,2,3
Seife-Faden,1,1,anders,480,standard,1,3
Faden-Spuelmittel,5,3,anders,801,standard,2,3
Faden-Spuelmittel,4,2,anders,825,bonus,1,3
Faden-Spuelmittel,1,1,initial,102,bonus,0,3
Teller-Faden,3,2,gleich,825,bonus,2,3
Teller-Faden,4,2,anders,102,bonus,1,3
Teller-Faden,1,1,initial,712,standard,0,3
Waescheklammer-Faden,3,2,gleich,801,standard,2,3
Waescheklammer-Faden,4,2,anders,261,bonus,1,3
Waescheklammer-Faden,2,1,initial,191,standard,0,3
Faden-Weinflasche,1,1,anders,738,standard,4,5
Faden-Weinflasche,3,2,gleich,352,standard,3,5
Faden-Weinflasche,2,1,anders,102,bonus,2,5
Faden-Weinflasche,2,1,anders,825,bonus,1,5
Faden-Weinflasche,5,3,initial,1056,standard,0,5
Feuerzeug-Buegeleisen,4,2,gleich,304,bonus,1,2
Feuerzeug-Buegeleisen,4,2,initial,629,standard,0,2
Feuerzeug-Hemd,2,1,initial,825,standard,0,1
Feuerzeug-Kaffeemaschine,1,1,anders,803,standard,4,5
Feuerzeug-Kaffeemaschine,6,3,anders,306,standard,3,5
Feuerzeug-Kaffeemaschine,1,1,anders,290,standard,2,5
Feuerzeug-Kaffeemaschine,2,1,anders,153,standard,1,5
Feuerzeug-Kaffeemaschine,5,3,initial,682,standard,0,5
Klebeband-Feuerzeug,3,2,anders,304,bonus,1,2
Klebeband-Feuerzeug,4,2,initial,1056,standard,0,2
Feuerzeug-Kochloeffel,3,2,anders,404,standard,1,2
Feuerzeug-Kochloeffel,2,1,initial,353,standard,0,2
Feuerzeug-Nadel,4,2,initial,652,standard,0,1
Plastikverpackung-Feuerzeug,2,1,anders,803,standard,3,3
Plastikverpackung-Feuerzeug,4,2,gleich,607,bonus,2,3
Plastikverpackung-Feuerzeug,2,1,anders,592,standard,1,3
Feuerzeug-Schere,2,1,anders,416,bonus,4,5
Feuerzeug-Schere,6,3,anders,865,standard,3,5
Feuerzeug-Schere,5,3,anders,801,standard,2,5
Feuerzeug-Schere,1,1,anders,404,standard,1,5
Feuerzeug-Schere,4,2,initial,629,standard,0,5
Feuerzeug-Schwamm,4,2,anders,306,bonus,3,4
Feuerzeug-Schwamm,3,2,gleich,801,standard,2,4
Feuerzeug-Schwamm,3,2,anders,652,standard,1,4
Feuerzeug-Schwamm,2,1,initial,153,standard,0,4
Seife-Feuerzeug,4,2,anders,801,bonus,1,2
Seife-Feuerzeug,3,2,initial,682,bonus,0,2
Spuelmittel-Feuerzeug,6,3,anders,845,standard,6,7
Spuelmittel-Feuerzeug,6,3,anders,803,bonus,5,7
Spuelmittel-Feuerzeug,6,3,anders,404,standard,4,7
Spuelmittel-Feuerzeug,3,2,gleich,147,standard,3,7
Spuelmittel-Feuerzeug,2,1,anders,710,standard,2,7
Spuelmittel-Feuerzeug,4,2,gleich,682,bonus,1,7
Spuelmittel-Feuerzeug,4,2,initial,154,standard,0,7
Streichholz-Feuerzeug,3,2,anders,416,bonus,8,9
Streichholz-Feuerzeug,2,1,gleich,801,bonus,7,9
Streichholz-Feuerzeug,2,1,gleich,404,standard,6,9
Streichholz-Feuerzeug,1,1,anders,147,standard,5,9
Streichholz-Feuerzeug,1,1,anders,820,standard,4,9
Streichholz-Feuerzeug,2,1,gleich,383,bonus,3,9
Streichholz-Feuerzeug,1,1,anders,621,standard,2,9
Streichholz-Feuerzeug,4,2,anders,306,standard,1,9
Streichholz-Feuerzeug,2,1,initial,930,standard,0,9
Feuerzeug-Tasse,2,1,anders,306,standard,1,2
Feuerzeug-Tasse,4,2,initial,710,standard,0,2
Feuerzeug-Tee,2,1,gleich,306,bonus,1,2
Feuerzeug-Tee,2,1,initial,663,standard,0,2
Waschmaschine-Feuerzeug,6,3,anders,404,standard,5,6
Waschmaschine-Feuerzeug,3,2,gleich,147,standard,4,6
Waschmaschine-Feuerzeug,6,3,anders,543,standard,3,6
Waschmaschine-Feuerzeug,3,2,gleich,607,bonus,2,6
Waschmaschine-Feuerzeug,4,2,anders,682,bonus,1,6
Waschmaschine-Feuerzeug,1,1,initial,592,standard,0,6
Feuerzeug-Gemuesemesser,5,3,anders,629,standard,2,2
Feuerzeug-Gemuesemesser,3,2,anders,153,standard,1,2
Gemuesemesser-Hemd,2,1,anders,600,standard,2,3
Gemuesemesser-Hemd,6,3,anders,1008,standard,1,3
Gemuesemesser-Hemd,1,1,initial,352,standard,0,3
Gemuesemesser-Holzbrett,1,1,anders,1008,standard,8,8
Gemuesemesser-Holzbrett,3,2,gleich,564,standard,7,8
Gemuesemesser-Holzbrett,4,2,gleich,932,standard,6,8
Gemuesemesser-Holzbrett,5,3,anders,353,standard,5,8
Gemuesemesser-Holzbrett,4,2,anders,153,bonus,4,8
Gemuesemesser-Holzbrett,1,1,anders,151,standard,3,8
Gemuesemesser-Holzbrett,3,2,gleich,202,bonus,2,8
Gemuesemesser-Holzbrett,6,3,anders,154,standard,1,8
Gemuesemesser-Kaffee,3,2,initial,738,bonus,0,1
Gemuesemesser-Kaffeemaschine,5,3,anders,1088,standard,3,4
Gemuesemesser-Kaffeemaschine,6,3,gleich,663,bonus,2,4
Gemuesemesser-Kaffeemaschine,6,3,gleich,629,standard,1,4
Gemuesemesser-Kaffeemaschine,6,3,initial,153,standard,0,4
Kerze-Gemuesemesser,4,2,gleich,367,bonus,1,2
Kerze-Gemuesemesser,4,2,initial,202,bonus,0,2
Gemuesemesser-Kopfhoerer,1,1,anders,600,standard,3,4
Gemuesemesser-Kopfhoerer,5,3,anders,629,standard,2,4
Gemuesemesser-Kopfhoerer,2,1,anders,352,standard,1,4
Gemuesemesser-Kopfhoerer,4,2,initial,682,standard,0,4
Gemuesemesser-Kugelschreiber,5,3,anders,933,standard,2,3
Gemuesemesser-Kugelschreiber,6,3,anders,617,standard,1,3
Gemuesemesser-Kugelschreiber,2,1,initial,151,standard,0,3
Lampe-Gemuesemesser,5,3,anders,353,standard,4,5
Lampe-Gemuesemesser,3,2,gleich,938,bonus,3,5
Lampe-Gemuesemesser,3,2,gleich,202,bonus,2,5
Lampe-Gemuesemesser,4,2,anders,389,standard,1,5
Lampe-Gemuesemesser,1,1,initial,952,bonus,0,5
Gemuesemesser-Papier,6,3,anders,643,standard,2,3
Gemuesemesser-Papier,1,1,anders,151,standard,1,3
Gemuesemesser-Papier,6,3,initial,154,standard,0,3
Plastikverpackung-Gemuesemesser,4,2,gleich,820,standard,5,6
Plastikverpackung-Gemuesemesser,6,3,anders,629,standard,4,6
Plastikverpackung-Gemuesemesser,3,2,anders,728,standard,3,6
Plastikverpackung-Gemuesemesser,3,2,anders,682,bonus,2,6
Plastikverpackung-Gemuesemesser,3,2,anders,1028,standard,1,6
Plastikverpackung-Gemuesemesser,6,3,initial,164,standard,0,6
Gemuesemesser-Schere,4,2,gleich,367,bonus,4,5
Gemuesemesser-Schere,4,2,anders,710,bonus,3,5
Gemuesemesser-Schere,3,2,gleich,663,bonus,2,5
Gemuesemesser-Schere,4,2,anders,629,standard,1,5
Gemuesemesser-Schere,2,1,initial,1028,standard,0,5
Seife-Gemuesemesser,3,2,anders,290,standard,1,2
Seife-Gemuesemesser,1,1,initial,728,standard,0,2
Gemuesemesser-Tasse,4,2,anders,704,standard,3,4
Gemuesemesser-Tasse,1,1,anders,629,standard,2,4
Gemuesemesser-Tasse,3,2,anders,728,standard,1,4
Gemuesemesser-Tasse,4,2,initial,164,standard,0,4
Tee-Gemuesemesser,4,2,gleich,146,standard,3,4
Tee-Gemuesemesser,4,2,gleich,564,standard,2,4
Tee-Gemuesemesser,6,3,anders,820,standard,1,4
Tee-Gemuesemesser,1,1,initial,164,bonus,0,4
Teller-Gemuesemesser,3,2,gleich,728,standard,1,2
Teller-Gemuesemesser,3,2,initial,202,bonus,0,2
Gemuesemesser-Topfdeckel,3,2,gleich,704,standard,3,4
Gemuesemesser-Topfdeckel,4,2,anders,738,bonus,2,4
Gemuesemesser-Topfdeckel,2,1,gleich,629,standard,1,4
Gemuesemesser-Topfdeckel,2,1,initial,202,standard,0,4
Gemuesemesser-Waescheklammer,5,3,anders,564,standard,5,6
Gemuesemesser-Waescheklammer,4,2,anders,600,standard,4,6
Gemuesemesser-Waescheklammer,3,2,gleich,290,standard,3,6
Gemuesemesser-Waescheklammer,4,2,anders,629,standard,2,6
Gemuesemesser-Waescheklammer,3,2,anders,617,standard,1,6
Gemuesemesser-Waescheklammer,2,1,initial,352,standard,0,6
Gemuesemesser-Weinflasche,4,2,gleich,738,bonus,4,5
Gemuesemesser-Weinflasche,4,2,gleich,933,standard,3,5
Gemuesemesser-Weinflasche,4,2,anders,682,standard,2,5
Gemuesemesser-Weinflasche,4,2,anders,164,standard,1,5
Gemuesemesser-Weinflasche,2,1,initial,1056,standard,0,5
Faden-Geschirrtuch,1,1,anders,629,bonus,2,3
Faden-Geschirrtuch,1,1,anders,290,standard,1,3
Faden-Geschirrtuch,4,2,initial,191,standard,0,3
Geschirrtuch-Gemuesemesser,2,1,anders,367,bonus,6,7
Geschirrtuch-Gemuesemesser,4,2,gleich,629,standard,5,7
Geschirrtuch-Gemuesemesser,6,3,anders,726,standard,4,7
Geschirrtuch-Gemuesemesser,1,1,anders,728,standard,3,7
Geschirrtuch-Gemuesemesser,6,3,anders,202,standard,2,7
Geschirrtuch-Gemuesemesser,3,2,anders,242,standard,1,7
Geschirrtuch-Gemuesemesser,4,2,initial,389,standard,0,7
Geschirrtuch-Hemd,4,2,anders,290,bonus,3,4
Geschirrtuch-Hemd,1,1,anders,652,standard,2,4
Geschirrtuch-Hemd,1,1,anders,838,standard,1,4
Geschirrtuch-Hemd,3,2,initial,938,standard,0,4
Holzbrett-Geschirrtuch,4,2,anders,564,standard,2,3
Holzbrett-Geschirrtuch,3,2,anders,672,bonus,1,3
Holzbrett-Geschirrtuch,2,1,initial,820,standard,0,3
Geschirrtuch-Kaffee,1,1,anders,256,standard,4,5
Geschirrtuch-Kaffee,3,2,gleich,801,bonus,3,5
Geschirrtuch-Kaffee,3,2,anders,661,standard,2,5
Geschirrtuch-Kaffee,2,1,gleich,710,bonus,1,5
Geschirrtuch-Kaffee,2,1,initial,154,bonus,0,5
Geschirrtuch-Kaffeemaschine,2,1,anders,704,standard,10,11
Geschirrtuch-Kaffeemaschine,1,1,anders,256,standard,9,11
Geschirrtuch-Kaffeemaschine,5,3,anders,845,standard,8,11
Geschirrtuch-Kaffeemaschine,5,3,anders,290,bonus,7,11
Geschirrtuch-Kaffeemaschine,5,3,anders,532,standard,6,11
Geschirrtuch-Kaffeemaschine,1,1,anders,629,bonus,5,11
Geschirrtuch-Kaffeemaschine,6,3,anders,153,standard,4,11
Geschirrtuch-Kaffeemaschine,3,2,gleich,588,standard,3,11
Geschirrtuch-Kaffeemaschine,3,2,anders,389,standard,2,11
Geschirrtuch-Kaffeemaschine,5,3,anders,1028,standard,1,11
Geschirrtuch-Kaffeemaschine,3,2,initial,952,standard,0,11
Geschirrtuch-Kochtopf,2,1,anders,416,standard,7,8
Geschirrtuch-Kochtopf,2,1,anders,845,standard,6,8
Geschirrtuch-Kochtopf,3,2,gleich,865,standard,5,8
Geschirrtuch-Kochtopf,4,2,gleich,663,standard,4,8
Geschirrtuch-Kochtopf,5,3,anders,652,standard,3,8
Geschirrtuch-Kochtopf,2,1,anders,933,bonus,2,8
Geschirrtuch-Kochtopf,2,1,anders,202,standard,1,8
Geschirrtuch-Kochtopf,5,3,initial,172,standard,0,8
Geschirrtuch-Lampe,3,2,initial,261,standard,0,1
Nadel-Geschirrtuch,3,2,anders,704,standard,4,4
Nadel-Geschirrtuch,4,2,gleich,825,standard,3,4
Nadel-Geschirrtuch,3,2,anders,1028,standard,2,4
Nadel-Geschirrtuch,6,3,anders,164,standard,1,4
Geschirrtuch-Papier,4,2,anders,825,standard,1,2
Geschirrtuch-Papier,1,1,initial,431,standard,0,2
Streichholz-Geschirrtuch,2,1,gleich,938,standard,1,2
Streichholz-Geschirrtuch,2,1,initial,1028,standard,0,2
Geschirrtuch-Tasse,4,2,anders,704,standard,6,7
Geschirrtuch-Tasse,1,1,anders,256,standard,5,7
Geschirrtuch-Tasse,2,1,gleich,865,standard,4,7
Geschirrtuch-Tasse,1,1,anders,820,standard,3,7
Geschirrtuch-Tasse,3,2,gleich,728,standard,2,7
Geschirrtuch-Tasse,2,1,anders,202,standard,1,7
Geschirrtuch-Tasse,4,2,initial,825,standard,0,7
Geschirrtuch-Teller,1,1,anders,256,standard,8,9
Geschirrtuch-Teller,3,2,gleich,738,standard,7,9
Geschirrtuch-Teller,5,3,anders,652,standard,6,9
Geschirrtuch-Teller,2,1,gleich,383,standard,5,9
Geschirrtuch-Teller,1,1,anders,838,standard,4,9
Geschirrtuch-Teller,1,1,anders,230,standard,3,9
Geschirrtuch-Teller,2,1,anders,728,standard,2,9
Geschirrtuch-Teller,6,3,anders,242,standard,1,9
Geschirrtuch-Teller,1,1,initial,1028,standard,0,9
Tisch-Geschirrtuch,1,1,gleich,738,standard,6,6
Tisch-Geschirrtuch,1,1,anders,261,standard,5,6
Tisch-Geschirrtuch,2,1,gleich,710,bonus,4,6
Tisch-Geschirrtuch,5,3,anders,663,standard,3,6
Tisch-Geschirrtuch,1,1,gleich,202,standard,2,6
Tisch-Geschirrtuch,1,1,gleich,154,bonus,1,6
Topfdeckel-Geschirrtuch,1,1,anders,256,standard,5,6
Topfdeckel-Geschirrtuch,5,3,anders,652,standard,4,6
Topfdeckel-Geschirrtuch,2,1,anders,290,standard,3,6
Topfdeckel-Geschirrtuch,2,1,anders,383,standard,2,6
Topfdeckel-Geschirrtuch,3,2,anders,431,standard,1,6
Topfdeckel-Geschirrtuch,5,3,initial,208,standard,0,6
Weinflasche-Geschirrtuch,5,3,gleich,136,standard,4,5
Weinflasche-Geschirrtuch,5,3,anders,107,standard,3,5
Weinflasche-Geschirrtuch,5,3,anders,607,standard,2,5
Weinflasche-Geschirrtuch,6,3,anders,588,standard,1,5
Weinflasche-Geschirrtuch,1,1,initial,143,standard,0,5
Bleistift-Glas,4,2,gleich,256,bonus,5,6
Bleistift-Glas,4,2,gleich,803,bonus,4,6
Bleistift-Glas,1,1,anders,933,standard,3,6
Bleistift-Glas,6,3,anders,643,standard,2,6
Bleistift-Glas,5,3,anders,682,bonus,1,6
Bleistift-Glas,3,2,initial,143,bonus,0,6
Glas-Feuerzeug,6,3,anders,865,standard,3,4
Glas-Feuerzeug,4,2,gleich,803,bonus,2,4
Glas-Feuerzeug,4,2,anders,801,bonus,1,4
Glas-Feuerzeug,3,2,initial,652,standard,0,4
Glas-Gemuesemesser,4,2,anders,682,standard,1,2
Glas-Gemuesemesser,6,3,initial,952,bonus,0,2
Glas-Geschirrtuch,1,1,gleich,256,standard,4,4
Glas-Geschirrtuch,1,1,gleich,710,bonus,3,4
Glas-Geschirrtuch,1,1,anders,1028,bonus,2,4
Glas-Geschirrtuch,3,2,anders,154,bonus,1,4
Kabel-Glas,2,1,gleich,416,bonus,3,4
Kabel-Glas,2,1,gleich,107,bonus,2,4
Kabel-Glas,2,1,gleich,682,bonus,1,4
Kabel-Glas,2,1,initial,592,standard,0,4
Kochloeffel-Glas,4,2,anders,710,standard,3,4
Kochloeffel-Glas,1,1,gleich,208,standard,2,4
Kochloeffel-Glas,2,1,anders,682,bonus,1,4
Kochloeffel-Glas,1,1,initial,952,bonus,0,4
Glas-Kochtopf,3,2,anders,416,bonus,2,3
Glas-Kochtopf,4,2,gleich,256,bonus,1,3
Glas-Kochtopf,4,2,initial,102,standard,0,3
Glas-Lampe,4,2,anders,933,standard,2,3
Glas-Lampe,3,2,anders,952,bonus,1,3
Glas-Lampe,1,1,initial,154,standard,0,3
Papiertaschentuch-Glas,2,1,anders,1008,standard,3,4
Papiertaschentuch-Glas,3,2,gleich,231,standard,2,4
Papiertaschentuch-Glas,1,1,anders,256,standard,1,4
Papiertaschentuch-Glas,5,3,initial,532,standard,0,4
Glas-Plastikverpackung,5,3,anders,416,standard,4,5
Glas-Plastikverpackung,3,2,anders,820,standard,3,5
Glas-Plastikverpackung,1,1,anders,726,bonus,2,5
Glas-Plastikverpackung,3,2,anders,480,standard,1,5
Glas-Plastikverpackung,1,1,initial,395,bonus,0,5
Glas-Schwamm,1,1,anders,416,standard,7,8
Glas-Schwamm,5,3,anders,704,standard,6,8
Glas-Schwamm,5,3,anders,782,standard,5,8
Glas-Schwamm,4,2,gleich,306,bonus,4,8
Glas-Schwamm,4,2,gleich,107,bonus,3,8
Glas-Schwamm,3,2,anders,629,bonus,2,8
Glas-Schwamm,3,2,anders,652,standard,1,8
Glas-Schwamm,5,3,initial,1022,standard,0,8
Spuelmittel-Glas,1,1,anders,256,standard,3,4
Spuelmittel-Glas,1,1,anders,782,standard,2,4
Spuelmittel-Glas,4,2,anders,803,bonus,1,4
Spuelmittel-Glas,3,2,initial,208,standard,0,4
Glas-Streichholz,4,2,anders,801,bonus,2,3
Glas-Streichholz,4,2,anders,629,bonus,1,3
Glas-Streichholz,1,1,initial,191,standard,0,3
Tisch-Glas,2,1,gleich,416,bonus,5,6
Tisch-Glas,5,3,anders,256,standard,4,6
Tisch-Glas,1,1,gleich,710,bonus,3,6
Tisch-Glas,3,2,anders,202,standard,2,6
Tisch-Glas,1,1,gleich,143,standard,1,6
